DATASET_YR	REPRJ_ID	INUN_ID	FT_N	PT_N	TOT_N	UG_FT_N	UG_PT_N	UG_TOT_N	FT_DEG_P	UG_RATIO	GRAD_STUD	FT_MEN_N	FT_WMN_N	PT_MEN_N	PT_WMN_N	TOT_MEN_N	TOT_WMN_N	FT_DEG_TERM_N	PT_DEG_TERM_N	TOT_DEG_TERM_N	UG_RATIO_FAC_N	UG_RATIO_STUD_N
2018	12	5514	1015	1269	2284					30.00		518	497	603	666	1121	1163	803	375	1178	1438	42585
2018	12	5515	388	494	882					22.00		189	199	197	297	386	496				553	11870
2018	12	5516	1039	1240	2279					24.00		514	525	576	664	1090	1189	885	453	1338	1315	31576
2018	12	5517	704	1014	1718					24.00		357	347	462	552	819	899	520	319	839	1042	24738
2018	12	5518	165	322	487					26.00		82	83	135	187	217	270	151	92	243	244	6331
2018	12	5519	888	1237	2125					27.00								444	609	1053		
2018	12	5520	690	958	1648					25.00		359	331	467	491	826	822	624	282	906	1078	26413
2018	12	5521	289	576	865					26.00		144	145								481	12276
2018	12	5524	30	62	92					10.00		18	12	40	22	58	34	20	26	46	50	481
2018	12	5525	11	33	44					7.00		5	6	23	10	28	16	7	9	16	22	169
2018	12	5526	246	104	350					13.00		162	84	38	66	200	150	221	28	249	281	3661
2018	12	5529	19	434	453					13.00		10	9	176	258	186	267	13	256	269	164	2101
2018	12	5530	132	546	678							60	72	254	292	314	364					
2018	12	5531	140	109	249					20.00		81	59	49	60	130	119	102	25	127	176	3492
2018	12	5533	169	116	285					23.00		81	88	39	77	120	165	105		105	216	4947
2018	12	5534	196	109	305					14.00		131	65	77	32	208	97	179	51	230		
2018	12	5537	81	160	241					16.00		27	54	64	96	91	150				134	2133
2018	12	5538	44	40	84					13.00		31	13	26	14	57	27	28	9	37	57	712
2018	12	5544	174	194	368					11.00		103	71	103	91	206	162	171	83	254	218	2335
2018	12	5546								18.00												
2018	12	5547	301	472	773					12.00											455	5496
2018	12	5550	163	246	409					11.00		82	81	102	144	184	225	124	67	191	214	2562
2018	12	5551								12.00												
2018	12	5553	83	228	311					10.00		31	52	85	143	116	195				159	159
2018	12	5555	1	13	14					10.00			1	2	11	2	12			4	14	142
2018	12	5556	8	48	56					11.00		3	5	23	25	26	30	6	13	19	24	275
2018	12	5557	86	275	361					14.00		44	42	124	151	168	193	31	39	70	221	3202
2018	12	5558								16.00												
2018	12	5559	212	49	261					9.00		114	98	22	27	136	125	208	32	240	228	2023
2018	12	5560	783	8	791					26.00		515	268	4	4	519	272	631	3	634	786	20320
2018	12	5561	96	164	260					12.00		25	71	42	122	67	193	73	55	128	96	1460
2018	12	5562																				
2018	12	5563	1021	53	1074					13.00		731	290	37	16	768	306	943	32	975	1039	13907
2018	12	5564	25	26	51					9.00		1	25	3	23	4	48	6	6	12	51	456
2018	12	5565	135	266	401					16.00		54	81					100			186	2987
2018	12	5566	75	150	225					13.00		21	54	54	96	75	150	21		16	125	1671
2018	12	5567	91	72	163					12.00		48	43	31	41	79	84				115	1343
2018	12	5569	122	132	254					13.00		54	68	64	68	118	136	95	45	140	166	2072
2018	12	5570	57	101	158					10.00		24	33	36	65	60	98	3	5	8	158	1536
2018	12	5571	164	184	348					12.00		98	66	83	101	181	167	148	68	216	1	12
2018	12	5574	789	218	1007					11.00		443	346	112	106	555	452	726	120	846	676	7539
2018	12	5575	140	106	246					14.00		76	64	57	49	133	113	45	2	47	175	2364
2018	12	5577	102	126	228					13.00		48	54	66	60	114	114	100	32	132	144	1885
2018	12	5578	86	73	159					12.00		45	41	35	38	80	79	67	13	80	110	1267
2018	12	5579	136	293	429					12.00		60	76	162	131	222	207				234	2770
2018	12	5581	9	19	28					9.00		6	3	12	7	18	10	6	9	15		
2018	12	5582	8	2	10					10.00												
2018	12	5584	400	355	755					7.00		248	152	200	155	448	307	371	5	376	457	3234
2018	12	5588	191	194	385					23.00		86	105	90	104	176	209	69	11	80	244	5649
2018	12	5590	44	178	222					26.00		19	25	71	107	90	132				103	2697
2018	12	5591	56	62	118					10.00											77	773
2018	12	5592	149	688	837					21.00		102	47	421	267	523	314	134	434	568	153	3139
2018	12	5593	50	245	295					11.00		20	30	104	141	124	171	14	2	16	132	1502
2018	12	5595	77	144	221					10.00		23	54	46	98	69	152	55	40	95	125	1220
2018	12	5596	75	221	296					24.00		23	52	96	125	119	177	75	221	296		
2018	12	5597	182	203	385					14.00		116	66	101	102	217	168	133	75	208	241	3338
2018	12	5599	82									42	40					42				
2018	12	5600	55	25	80					9.00		34	21	17	8	51	29	53	8	61	61	527
2018	12	5601	48	241	289					9.00		37	11	143	98	180	109	25				
2018	12	5604	94	116	210					14.00								16				
2018	12	5605	30	57	87					12.00		17	13	31	26	48	39	17	7	24		
2018	12	5608	370	680	1050																	
2018	12	5609								19.00												
2018	12	5611	19	27	46					14.00		13	6	18	9	31	15	4	2	6		
2018	12	5613			112					15.00						45	67					
2018	12	5614	448	484	932					16.00		252	196	247	237	499	433	375	132	507	609	9462
2018	12	5615	10	20	30					10.00		4	6	13	7	17	13	8	10	18	17	172
2018	12	5616	138	236	374							57	81	134	102	191	183	26	13	39		
2018	12	5618								20.00												
2018	12	5619	17	2	19					5.00		1	16	0	2	1	18	3	0	3		
2018	12	5620	54	149	203					17.00		33	21	62	87	95	108	3	0	3		
2018	12	5621	69	49	118					12.00		34	35	21	28	55	63	40	12	52	84	1043
2018	12	5622	797	494	1291					20.00		458	339	260	234	718	573	638	114	752	813	16342
2018	12	5623	494	161	655					18.00		252	242	52	109	304	351	349	26	375	655	12333
2018	12	5625	57	255	312					11.00											142	1621
2018	12	5626	131	207	338					19.00												
2018	12	5627	44	58	102					10.00		24	20	31	27	55	47	18		18	62	612
2018	12	5628	1	11	12					11.00		1	0	10	1	11	1	1	4	5	5	55
2018	12	5629	337	1404	1741																	
2018	12	5630	98	115	213					13.00		66	32	59	56	125	88	75	13	88	135	1735
2018	12	5631	548	482	1030					18.00		264	284	194	288	458	572	420	134	554	1030	15979
2018	12	5632	49	60	109					15.00		18	31	21	39	39	70					
2018	12	5633	204	1044	1248					17.00		117	87	521	523	638	610				458	7671
