DATASET_YR	REPRJ_ID	INUN_ID	ADMS	COUNSEL	SAT1_VERB_200_P	SAT1_VERB_300_P	SAT1_VERB_400_P	SAT1_VERB_500_P	SAT1_VERB_600_P	SAT1_VERB_700_P	SAT1_MATH_200_P	SAT1_MATH_300_P	SAT1_MATH_400_P	SAT1_MATH_500_P	SAT1_MATH_600_P	SAT1_MATH_700_P	ACT_1_P	ACT_2_P	ACT_3_P	ACT_4_P	ACT_5_P	ACT_6_P	SAT1_VERB_MEAN	SAT1_MATH_MEAN	ACT_MEAN	SAT1_VERB_670_800_P	SAT1_MATH_600_800_P	SUBMIT_P	SUBMIT_SAT1_P	SUBMIT_ACT_P	PLACE_ONLY	ADMS_PLACE	ADMS_COUNSEL	SAT1_VERB_25TH_P	SAT1_VERB_75TH_P	SAT1_MATH_25TH_P	SAT1_MATH_75TH_P	ACT_COMP_25TH_P	ACT_COMP_75TH_P	ACT_WRITING	SAT_NEW	SAT1_WRITING_200_P	SAT1_WRITING_300_P	SAT1_WRITING_400_P	SAT1_WRITING_500_P	SAT1_WRITING_600_P	SAT1_WRITING_700_P	SAT1_WRITING_25TH_P	SAT1_WRITING_75TH_P	SAT1_WRITING_MEAN	ESSAY_ADMIS_ACT	ESSAY_ADMIS_SAT	ESSAY_ADVISING_ACT	ESSAY_ADVISING_SAT	ESSAY_AP_SUBST_ACT	ESSAY_AP_SUBST_SAT	ESSAY_AP_VALID_ACT	ESSAY_AP_VALID_SAT	ESSAY_NO_ACT	ESSAY_NO_SAT	ESSAY_NO_POLICY_ACT	ESSAY_NO_POLICY_SAT	ESSAY_PLACE_ACT	ESSAY_PLACE_SAT	ADMS_OPTIONAL	SAT_ESSAY
2018	12	5161	Y		0.00	0.00	14.40	43.60	36.60	5.40	0.00	2.00	17.20	47.80	30.50	2.50	0.00	0.00	10.00	52.50	32.70	4.70	579	561	23				38.90	64.90				530.00	630.00	510.00	620.00	20.00	25.00	ACTB																			X	X						SATB
2018	12	5162	Y																																																															
2018	12	5163	Y																						15																																									
2018	12	5164	Y		0.00	0.00	16.70	46.67	30.00	6.67	0.00	0.00	6.67	46.67	46.67	0.00	0.00	0.00	1.79	36.90	41.07	20.24							16.00	88.00				510.00	603.00	520.00	633.00	22.00	28.00	ACTB																			X	X						SATB
2018	12	5167	Y														0.00	0.00	1.60	48.20	43.70	6.50			24				1.60	92.90								21.00	26.00	ACTB																			X	X						
2018	12	5168	N																										0.00	100.00																																				
2018	12	5169	Y		0.00	16.67	66.67	16.67	0.00	0.00	0.00	16.67	50.00	33.33	0.00	0.00	0.00	0.00	16.35	43.23	34.80	5.62			22				2.00	90.00								19.00	25.00	ACTB													X	X												
2018	12	5170	Y																																																															
2018	12	5173	Y		0.00	0.00	24.00	56.00	18.00	2.00	0.00	0.00	21.00	59.00	19.00	1.00	0.00	0.00	14.00	64.00	19.00	3.00	541	515	21				72.00	31.00				500.00	580.00	500.00	590.00	19.00	23.00	ACTB													X	X												SATW
2018	12	5174	Y														0.00	0.00	16.00	58.00	21.00	5.00			21				41.00	59.00								18.00	24.00																											
2018	12	5175	Y																																					ACTB																			X	X						SATB
2018	12	5177																																																																
2018	12	5178																																																																
2018	12	5181																																																																
2018	12	5184																																																																
2018	12	5186																																																																
2018	12	5187	Y														0.00	0.00	0.00	20.00	70.00	10.00																																					X	X						
2018	12	5188																																																																
