DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5560	SAT1	D		X							
2018	12	5561	ACT	D								X	
2018	12	5561	S1A	D	X								
2018	12	5561	S1S2A	D		X							
2018	12	5561	SAT2	D									X
2018	12	5563	S1A	D	X								
2018	12	5563	SAT2	D		X							
2018	12	5564	S1A	D			X						
2018	12	5565	ACT	D		X							
2018	12	5565	S1A	D	X								
2018	12	5567	S1A	D	X								
2018	12	5567	SAT2	D			X						
2018	12	5569	S1A	D	X								
2018	12	5571	S1S2A	D		X							
2018	12	5574	S1A	D	X								
2018	12	5574	SAT2	D								X	
2018	12	5577	S1A	D	X								
2018	12	5579	OTHT	D	X						TABE for Basic Law Enforcement Training (BLET); PSB for nursing, dental hygiene, EMS, electroneurodiagnostic technology, health occupations, radiography, surgical technology; TEAS for surgical technology programs		
2018	12	5582	OTHT	D	X						nursing exam		
2018	12	5584	S1A	D								X	
2018	12	5584	SAT2	D								X	
2018	12	5588	OTHT	D	X						College Entrance Examination Board (CEEB) Aptitude Test		
2018	12	5588	SAT1	D			X						
2018	12	5591	S1A	D		X						X	
2018	12	5592	S1A	D			X						
2018	12	5595	ACT	D								X	
2018	12	5595	S1A	D	X								
2018	12	5595	S1S2A	D									X
2018	12	5595	SAT1	D								X	
2018	12	5595	SAT2	D									X
2018	12	5596	OTHT	D	X						TSI		
2018	12	5596	S1A	D	X								
2018	12	5596	S1S2A	D			X						
2018	12	5597	S1A	D	X								
2018	12	5599	ACT	D								X	
2018	12	5599	S1A	D	X								
2018	12	5599	S1S2A	D								X	
2018	12	5599	SAT1	D								X	
2018	12	5599	SAT2	D									X
2018	12	5600	S1A	D	X								
2018	12	5601	S1A	D	X								
2018	12	5605	S1A	D	X								
2018	12	5608	OTHT	D			X				SAT, ACT, ACT Compass, ACT ASSET, or ACCUPLACER		
2018	12	5608	S1A	D		X							
2018	12	5609	S1A	D	X								
2018	12	5611	S1A	D	X								
2018	12	5614	S1A	D	X								
2018	12	5615	S1A	D	X								
2018	12	5619	OTHT	D			X				HESI Entrance Exam for nursing, ACCUPLACER		
2018	12	5619	S1A	D			X						
2018	12	5620	S1S2A	D		X							
2018	12	5621	S1A	D	X								
2018	12	5622	S1A	D	X								
2018	12	5623	S1A	D	X								
2018	12	5627	S1A	D			X						
2018	12	5631	ACT	D		X							
2018	12	5631	S1A	D	X								
2018	12	5631	S1S2A	D			X						
2018	12	5631	SAT1	D		X							
2018	12	5631	SAT2	D									X
2018	12	5633	ACT	D									X
2018	12	5633	OTHT	D			X				TSI Assessment required for those that are not TSI exempt or waived		
2018	12	5633	S1A	D									X
2018	12	5633	S1S2A	D									X
2018	12	5633	SAT1	D									X
2018	12	5633	SAT2	D									X
2018	12	5634	S1A	D	X								
2018	12	5636	S1A	D	X								
2018	12	5637	S1A	D	X								
2018	12	5640	S1A	D	X								
2018	12	5651	OTHT	D	X						TOEFL for international students		
2018	12	5651	S1A	D	X								
2018	12	5652	S1A	D	X								
2018	12	5652	SAT2	D								X	
2018	12	5655	S1A	D	X								
2018	12	5655	SAT2	D		X							
2018	12	5657	S1A	D			X						
2018	12	5657	SAT2	D									X
2018	12	5661	S1A	D								X	
2018	12	5667	OTHT	D	X						ACT Compass		
2018	12	5667	SAT1	D			X						
2018	12	5668	S1A	D	X								
2018	12	5668	SAT2	D									X
2018	12	5669	S1S2A	D	X								
2018	12	5673	S1A	D	X								
2018	12	5678	S1A	D	X								
2018	12	5679	S1A	D	X								
2018	12	5680	OTHT	D							We also accept the Classic Learning Test (CLT) as an alternative to the SAT and ACT	X	
2018	12	5680	S1A	D	X								
2018	12	5681	S1A	D	X								
2018	12	5682	S1A	D			X						
2018	12	5685	ACT	D								X	
2018	12	5685	S1A	D			X						
2018	12	5685	S1S2A	D									X
2018	12	5685	SAT1	D								X	
2018	12	5685	SAT2	D									X
2018	12	5693	S1A	D	X								
2018	12	5694	ACT	D									X
2018	12	5694	OTHT	D									X
2018	12	5694	S1A	D									X
2018	12	5694	S1S2A	D									X
2018	12	5694	SAT1	D									X
2018	12	5694	SAT2	D									X
2018	12	5697	ACT	D			X						
2018	12	5697	SAT1	D		X							
2018	12	5698	ACT	D		X							
2018	12	5698	SAT1	D		X							
2018	12	5699	S1A	D	X								
2018	12	5713	S1A	D	X								
2018	12	5713	SAT2	D								X	
2018	12	5714	S1A	D		X							
2018	12	5715	S1A	D		X							
2018	12	5716	S1A	D	X								
2018	12	5718	S1A	D	X								
2018	12	5719	S1A	D	X								
2018	12	5721	S1A	D	X								
2018	12	5723	S1A	D	X								
2018	12	5724	S1A	D	X								
2018	12	5727	S1S2A	D		X							
2018	12	5729	S1A	D			X						
2018	12	5731	S1A	D	X								
2018	12	5731	SAT2	D			X						
2018	12	5733	ACT	D								X	
2018	12	5733	S1A	D	X								
2018	12	5733	S1S2A	D									X
2018	12	5733	SAT2	D									X
2018	12	5735	S1A	D	X								
2018	12	5737	OTHT	D			X				TOEFL or IELTS for students for whom English is not their first language and the primary language of instruction in high school was not English		
2018	12	5737	S1A	D	X								
2018	12	5737	SAT2	D			X						
2018	12	5739	ACT	D		X							
2018	12	5739	S1A	D	X								
2018	12	5741	OTHT	D			X				TOEFL, TSE or IELTS for international students		
2018	12	5741	S1A	D	X								
2018	12	5747	S1A	D	X								
2018	12	5749	S1A	D	X								
2018	12	5749	SAT2	D		X							
2018	12	5751	S1A	D								X	
2018	12	5753	S1A	D	X								
2018	12	5757	S1A	D	X								
2018	12	5757	SAT2	D			X						
2018	12	5758	S1A	D	X								
2018	12	5762	S1A	D			X						
2018	12	5764	S1A	D								X	
